открытие 14.09.2018;максимум 14.09.2018;минимум 14.09.2018;закрытие 14.09.2018;открытие 16.10.2018;максимум 16.10.2018;минимум 16.10.2018;закрытие 16.10.2018;открытие 14.11.2018;максимум 14.11.2018;минимум 14.11.2018;закрытие 14.11.2018;открытие 14.12.2018;максимум 14.12.2018;минимум 14.12.2018;закрытие 14.12.2018
108210;108280;108210;108280;114930;114930;114880;114890;109620;109650;109560;109580;111410;111440;111380;111430
108250;108420;108250;108400;114890;114940;114890;114930;109570;109610;109520;109600;111440;111480;111420;111480
108400;108440;108370;108380;114920;114930;114850;114870;109620;109620;109550;109590;111480;111710;111460;111530
108320;108360;108270;108280;114870;114890;114860;114870;109580;109610;109510;109530;111540;111610;111520;111540
108290;108350;108290;108320;114880;114920;114880;114890;109530;109600;109500;109590;111530;111540;111340;111360
108290;108440;108260;108270;114880;114890;114860;114860;109580;109600;109460;109480;111360;111440;111350;111440
108270;108390;108250;108300;114860;114920;114860;114910;109480;109590;109480;109550;111440;111510;111380;111490
108300;108400;108280;108330;114920;114920;114850;114870;109560;109590;109500;109560;111470;111520;111440;111480
108320;108350;108300;108300;114870;114870;114780;114820;109550;109620;109550;109570;111470;111480;111210;111210
108280;108280;108210;108230;114820;114840;114800;114820;109580;109640;109580;109600;111210;111310;111170;111280
108270;108270;108110;108120;114820;114840;114770;114790;109600;109650;109590;109620;111280;111360;111260;111350
108080;108160;108060;108160;114790;114820;114780;114790;109620;109620;109520;109570;111360;111380;111330;111340
108180;108180;108180;108180;114800;114860;114800;114840;109570;109610;109570;109580;111360;111380;111340;111370
108210;108240;108210;108240;114830;114870;114820;114840;109600;109680;109600;109620;111370;111440;111370;111430
108190;108190;108160;108160;114830;114840;114790;114830;109620;109650;109580;109600;111430;111460;111380;111450
108260;108260;108260;108260;114840;114850;114800;114820;109590;109610;109550;109560;111450;111460;111390;111440
108270;108310;108260;108310;114830;114830;114800;114810;109550;109610;109550;109580;111410;111490;111410;111450
108320;108450;108320;108430;114800;114870;114800;114850;109570;109570;109520;109540;111450;111450;111330;111360
108390;108390;108310;108310;114850;114850;114770;114770;109530;109710;109510;109700;111350;111390;111350;111350
108280;108310;108280;108280;114780;114800;114740;114760;109700;109700;109630;109670;111340;111370;111300;111320
108280;108330;108220;108220;114760;114790;114730;114780;109670;109710;109650;109650;111320;111400;111320;111340
108230;108250;108230;108240;114770;114780;114720;114730;109650;109700;109630;109690;111330;111400;111320;111390
108250;108250;108160;108160;114740;114750;114700;114700;109670;109800;109650;109790;111390;111480;111340;111430
108180;108230;108180;108230;114700;114700;114570;114630;109790;110040;109770;109980;111410;111420;111360;111390
108150;108190;108150;108190;114620;114630;114580;114610;109970;110100;109960;110010;111380;111410;111360;111390
108200;108200;108190;108200;114610;114650;114600;114620;110010;110020;109920;109950;111400;111460;111400;111450
108230;108270;108230;108270;114620;114640;114610;114610;109930;110080;109930;110020;111460;111470;111410;111420
108250;108250;108180;108180;114610;114630;114580;114630;110020;110090;109950;109970;111430;111430;111380;111400
108170;108200;108170;108180;114620;114640;114620;114630;109960;109990;109810;109860;111390;111430;111390;111430
108240;108250;108240;108250;114640;114640;114580;114580;109850;109920;109820;109910;111430;111490;111420;111470
108250;108250;108190;108190;114590;114590;114560;114570;109920;109960;109890;109950;111470;111510;111450;111480
108170;108170;108130;108140;114580;114580;114450;114500;109960;110140;109960;110110;111470;111490;111430;111480
108110;108140;108110;108110;114510;114520;114360;114470;110100;110220;110000;110140;111470;111490;111420;111440
108100;108100;108050;108050;114460;114560;114450;114530;110140;110180;110060;110070;111440;111480;111410;111420
108100;108100;108050;108050;114540;114570;114510;114560;110070;110100;110000;110020;111430;111440;111420;111440
108030;108080;108020;108050;114570;114670;114570;114630;110020;110020;109950;109990;111450;111510;111450;111480
108100;108110;108080;108080;114640;114650;114620;114640;109980;110060;109980;110010;111470;111510;111440;111500
108140;108140;108100;108120;114640;114690;114630;114660;110020;110110;110020;110040;111500;111680;111490;111650
108140;108140;108140;108140;114660;114680;114590;114590;110040;110090;109990;109990;111650;111690;111540;111610
108100;108100;108070;108070;114590;114630;114580;114590;109990;110040;109980;110020;111610;111640;111550;111580
108080;108080;108080;108080;114600;114600;114500;114510;110020;110020;109930;109960;111590;111590;111550;111580
108140;108140;108140;108140;114520;114590;114520;114590;109960;110000;109960;109980;111570;111580;111540;111540
108140;108200;108140;108180;114580;114630;114570;114620;109980;110070;109980;110030;111550;111620;111540;111600
108210;108210;108200;108200;114620;114630;114600;114610;110030;110040;109880;109900;111610;111650;111610;111640
108170;108170;108140;108140;114630;114700;114630;114660;109900;109900;109840;109870;111640;111640;111590;111630
108130;108130;108130;108130;114660;114710;114650;114670;109860;109900;109860;109880;111620;111640;111560;111580
108140;108140;108100;108100;114670;114720;114650;114650;109880;109880;109820;109820;111580;111590;111530;111540
108120;108120;108080;108110;114650;114700;114650;114700;109830;109900;109820;109860;111530;111540;111410;111420
108080;108120;108050;108120;114700;114710;114600;114620;109850;109850;109770;109820;111440;111440;111350;111350
108110;108150;108110;108150;114620;114650;114560;114560;109820;109850;109790;109800;111350;111400;111330;111400
108180;108210;108170;108210;114570;114570;114440;114460;109810;109840;109780;109800;111400;111470;111380;111420
108200;108200;108200;108200;114460;114570;114440;114560;109800;109810;109620;109630;111420;111420;111360;111390
108180;108180;108150;108150;114550;114550;114500;114510;109630;109740;109620;109690;111390;111410;111340;111400
108150;108150;108110;108110;114500;114510;114430;114490;109680;109730;109650;109660;111380;111440;111350;111410
108190;108220;108190;108220;114480;114530;114470;114480;109660;109700;109640;109660;111410;111440;111390;111390
108230;108250;108190;108210;114490;114550;114480;114510;109670;109700;109650;109700;111410;111440;111380;111410
108180;108190;108170;108190;114510;114520;114370;114390;109700;109740;109670;109720;111400;111410;111370;111390
